tests.pattern_engine.test_pattern_db_shared_root_guard | test_explicit_allow_shared_root_override_bypasses_the_guard | AssertionError: assert '/data/patterns.db' == '/home/runner...\\patterns.db'
tests.test_alert_taxonomy_indicator_condition_schema | test_the_callers_of_the_type_module_are_exactly_the_declared_four | AssertionError: the caller set changed: ['dark_report.py', 'indicator_alert_evaluator.py', 'indicator_condition_compare.py', 'indicator_condition_projection.py', 'main.py']
tests.test_alert_taxonomy_position_risk_schema | test_aggregate_heat_has_NO_scheduled_or_delivering_legacy_path | AssertionError: the portfolio_heat call sites moved: ['api/routers/portfolio_heat.py', 'api/services/ai_search_personal.py', 'api/services/journal_two/coach_chat_tools.py', 'api/services/portfolio_heat.py', 'api/services/test_portfolio_heat.py', 'api/services/voice_tool_impls.py']
tests.test_calendar_week_post | test_most_anticipated_card_render_is_pinned | AssertionError: assert '814a9107c457...e7d9627274bdd' == 'f1ae5925d8d8...fc17075e86d0c'
tests.test_deploy_watch | test_the_real_boundary_resolve_and_run_railway_status_json_for_real | deploy_watch.RailwayNotFound: `railway` is not on PATH. shutil.which found nothing, so every probe would raise FileNotFoundError and the watch would report nothing while looking healthy.
tests.test_discord_close_note | test_a_note_that_cannot_be_written_still_posts_the_charts | Failed: Timeout (>120.0s) from pytest-timeout.
tests.test_document_ocr.TestAClaimNobodyCanServeIsNotProcessing | test_the_member_facing_chain_ends_at_a_navigable_page | assert False is True
tests.test_entitlements_manifest | test_the_checked_in_manifest_IS_what_the_declarations_derive | AssertionError: the checked-in entitlements manifest is not what the declarations derive:
tests.test_flow_aggregate | test_warm_means_this_exact_version_not_merely_something_cached | assert False is True
tests.test_flow_aggregate | test_cold_is_reported_but_is_not_a_failure | AssertionError: assert (False is False and 'bundle_missing' == 'cold'
tests.test_flow_aggregate | test_each_way_it_can_break_names_itself[env2-node_missing] | AssertionError: assert 'bundle_missing' == 'node_missing'
tests.test_flow_aggregate | test_it_alerts_on_TRANSITION_only | assert (0 == 1)
tests.test_flow_aggregate | test_recovery_is_announced_too | assert (0 == 1)
tests.test_flow_prepare | test_warm_is_FALSE_when_the_parts_transport_is_on_but_cold | KeyError: 'warm_whole'
tests.test_flow_prepare | test_CONTROL_with_parts_off_the_whole_D_verdict_is_unchanged | assert (False is True)
tests.test_flow_prepare | test_warm_is_TRUE_once_the_parts_for_the_default_view_are_built | assert (False is True)
tests.test_flow_prepare | test_parts_built_for_a_SUPERSEDED_version_are_not_warm | AssertionError: assert 'stale' in (('bundle_missing'))
tests.test_flow_prepare | test_a_BURST_of_bumps_collapses_to_ONE_roll | AssertionError: 2 rolls from 5 bumps — the loop is observing intermediate versions, so a burst CAN reach the ledger and rolls 2..N would be misfiled as steady-state
tests.test_fundamentals_snapshot_store | test_earnings_table_stale_serves_old_and_schedules_refresh | AssertionError: assert [] == ['ZZSTALE']
tests.test_fundamentals_snapshot_store | test_earnings_table_too_old_rebuilds_synchronously | AssertionError: assert ['ZZOLD'] == ['ZZOLD', 'ZZOLD']
