tests.pattern_engine.test_pattern_db_shared_root_guard | test_explicit_allow_shared_root_override_bypasses_the_guard | AssertionError: assert '/data/patterns.db' == '/home/runner...\\patterns.db'
tests.test_alert_taxonomy_indicator_condition_schema | test_the_callers_of_the_type_module_are_exactly_the_declared_four | AssertionError: the caller set changed: ['dark_report.py', 'indicator_alert_evaluator.py', 'indicator_condition_compare.py', 'indicator_condition_projection.py', 'main.py']
tests.test_alert_taxonomy_position_risk_schema | test_aggregate_heat_has_NO_scheduled_or_delivering_legacy_path | AssertionError: the portfolio_heat call sites moved: ['api/routers/portfolio_heat.py', 'api/services/ai_search_personal.py', 'api/services/journal_two/coach_chat_tools.py', 'api/services/portfolio_heat.py', 'api/services/test_portfolio_heat.py', 'api/services/voice_tool_impls.py']
tests.test_ask_document_navigation | test_the_client_reads_the_SAME_two_values | AssertionError: openCitation.js restates a kind value instead of importing it
tests.test_ast_scalars | test_the_scalar_section_PARTITIONS_snapshot_db_COLUMNS_exactly | AssertionError: unpartitioned: ['security_type'] is a screener column that is neither granted nor refused, and ['above_50sma', 'adr_pct', 'adr_pct_1w', 'atr_ext_sma50', 'atr_pct', 'avg_body', 'avg_body_pct_5', 'avg_range', 'avg_volume_30d', 'base_relation_count', 'beta', 'blended_growth', 'body_pct', 'candle_recent_bars_ago', 'candle_score', 'chg_from_open_pct', 'chg_pct_1d', 'chg_pct_1m', 'chg_pct_1w', 'chg_pct_1y', 'chg_pct_ytd', 'close_cv_pct', 'close_position', 'consecutive_down', 'consecutive_up', 'current_ratio', 'days_to_earnings', 'debt_to_equity', 'dist_20d_high_pct', 'dist_20d_low_pct', 'dist_52w_high_pct', 'dist_52w_low_pct', 'dist_ath_pct', 'dividend_yield', 'dollar_vol_30d', 'downgrades_30d', 'dp_level_dist_pct', 'dp_notional_1d', 'dp_notional_5d', 'dp_prints_1d', 'ema10_rising', 'ema20_rising', 'ema_stack_intact', 'ema_touch_count', 'eps_growth', 'eps_next_5y_growth', 'eps_next_y_growth', 'eps_past_5y_growth', 'float_pct', 'float_shares', 'gap_pct', 'gross_margin', 'higher_lows_run', 'hvc_52w', 'implied_move_pct', 'in_uct20', 'index_dow', 'index_ndx', 'index_r2k', 'index_sp500', 'inside_bar_run', 'insider_cluster_days', 'insider_own_pct', 'insider_trans_pct', 'inst_pct', 'inst_trans_pct', 'ipo_age_days', 'is_etf', 'is_leveraged', 'last_report_move_pct', 'lower_wick_pct', 'lt_debt_to_capital', 'market_cap', 'narrow_bar', 'net_margin', 'new_52w_high', 'new_ath', 'nr7', 'op_margin', 'opt_bull_pct_1d', 'opt_net_premium_1d', 'opt_net_premium_5d', 'optionable', 'p_fcf', 'p_ocf', 'pattern_engine_conf', 'pattern_engine_dir', 'pattern_engine_flat_base', 'pattern_engine_vcp', 'pattern_entry_dist_pct', 'pattern_expectancy_r', 'pattern_stop_dist_pct', 'payout_ratio', 'pb', 'pct_vs_ema20', 'pct_vs_sma20', 'pct_vs_sma200', 'pct_vs_sma50', 'pe_fwd', 'pe_ttm', 'peg', 'pole_pct', 'prev_day_close', 'prev_day_high', 'prev_day_low', 'prev_day_open', 'price', 'ps', 'pt_target', 'pt_upside_pct', 'pullback_depth_pct', 'quick_ratio', 'rating_eps', 'rating_growth', 'rating_smr', 'rating_value', 'rev_growth', 'roa', 'roe', 'roic', 'rs_rank', 'rs_return', 'rsi14', 'sales_past_5y_growth', 'sector_rs_pct', 'shares_outstanding', 'short_float_pct', 'short_ratio', 'shortable', 'tight_consolidation', 'uct_composite', 'upgrades_30d', 'upper_wick_pct', 'vol_nweek_low', 'vol_ratio', 'vol_updown_ratio', 'wide_bar'] is named here and not a column
tests.test_audit_sandbox_env | test_NO_variable_points_at_the_shared_data_root | SystemExit: REFUSING to build a sandbox environment: the census reports 1 shared literal(s) with no env override, so a local backend would still reach the live data root.
tests.test_audit_sandbox_env | test_the_BARE_ROOT_pins_are_redirected_too | SystemExit: REFUSING to build a sandbox environment: the census reports 1 shared literal(s) with no env override, so a local backend would still reach the live data root.
tests.test_audit_sandbox_env | test_it_REDIRECTS_EVERY_pin_the_census_derives | SystemExit: REFUSING to build a sandbox environment: the census reports 1 shared literal(s) with no env override, so a local backend would still reach the live data root.
tests.test_audit_sandbox_env | test_the_quiet_flags_blank_a_webhook_rather_than_removing_it | SystemExit: REFUSING to build a sandbox environment: the census reports 1 shared literal(s) with no env override, so a local backend would still reach the live data root.
tests.test_bars_ordinal_census | test_bars_ordinal_census_matches_a_fresh_derivation | AssertionError: the checked-in census is stale — regenerate with `python tools/bars_ordinal_census.py`
tests.test_breadth_restore | test_e_a_corrupt_snapshot_is_refused | sqlite3.DatabaseError: database disk image is malformed
