tests.pattern_engine.test_pattern_db_shared_root_guard | test_explicit_allow_shared_root_override_bypasses_the_guard | AssertionError: assert '/data/patterns.db' == '/home/runner...\\patterns.db'
tests.test_audit_sandbox_env | test_NO_variable_points_at_the_shared_data_root | SystemExit: REFUSING to build a sandbox environment: the census reports 1 shared literal(s) with no env override, so a local backend would still reach the live data root.
tests.test_audit_sandbox_env | test_the_BARE_ROOT_pins_are_redirected_too | SystemExit: REFUSING to build a sandbox environment: the census reports 1 shared literal(s) with no env override, so a local backend would still reach the live data root.
tests.test_audit_sandbox_env | test_it_REDIRECTS_EVERY_pin_the_census_derives | SystemExit: REFUSING to build a sandbox environment: the census reports 1 shared literal(s) with no env override, so a local backend would still reach the live data root.
tests.test_audit_sandbox_env | test_the_quiet_flags_blank_a_webhook_rather_than_removing_it | SystemExit: REFUSING to build a sandbox environment: the census reports 1 shared literal(s) with no env override, so a local backend would still reach the live data root.
tests.test_breadth_restore | test_e_a_corrupt_snapshot_is_refused | sqlite3.DatabaseError: database disk image is malformed
tests.test_breadth_sampler | test_the_report_survives_a_forced_cp1252_stdout_and_writes_a_complete_summary | AssertionError: the report body never reached the file
tests.test_calendar_week_post | test_most_anticipated_card_render_is_pinned | AssertionError: assert '814a9107c457...e7d9627274bdd' == 'f1ae5925d8d8...fc17075e86d0c'
tests.test_corp_actions_census | test_every_corporate_action_site_is_REGISTERED_with_a_state | AssertionError: a corporate-action site nobody has classified:
tests.test_corp_actions_census | test_every_state_is_one_of_the_three_and_OUTSIDE_carries_a_REAL_reason | AssertionError: api/services/wisdom/capture/families/gex.py [VENDOR_ADJUSTED] has state 'UNREGISTERED'
tests.test_corp_actions_census | test_the_census_runs_as_a_command_and_reports_its_verdict | AssertionError: the census exits non-zero, so something is unregistered:
tests.test_deploy_watch | test_the_real_boundary_resolve_and_run_railway_status_json_for_real | deploy_watch.RailwayNotFound: `railway` is not on PATH. shutil.which found nothing, so every probe would raise FileNotFoundError and the watch would report nothing while looking healthy.
tests.test_discord_render_goldens | test_a_fresh_capture_matches_the_stored_golden_at_zero_drift | AssertionError: the pre-V2 reply payloads have MOVED — that is the one thing P2 promised would not happen:
tests.test_discord_render_observe | test_no_module_in_the_v2_package_calls_log_exception | AssertionError: assert not {'cold_path_instrument.py': [77, 109], 'cold_path_manifest.py': [73], 'cold_start_guard.py': [117]}
tests.test_document_ocr.TestAClaimNobodyCanServeIsNotProcessing | test_the_member_facing_chain_ends_at_a_navigable_page | assert False is True
tests.test_e2e_sandbox_guard | test_build_environment_produces_a_usable_env_for_a_real_sandbox_root | SystemExit: REFUSING to build a sandbox environment: the census reports 1 shared literal(s) with no env override, so a local backend would still reach the live data root.
tests.test_flow_aggregate | test_warm_means_this_exact_version_not_merely_something_cached | assert False is True
tests.test_flow_aggregate | test_cold_is_reported_but_is_not_a_failure | AssertionError: assert (False is False and 'bundle_missing' == 'cold'
tests.test_flow_aggregate | test_each_way_it_can_break_names_itself[env2-node_missing] | AssertionError: assert 'bundle_missing' == 'node_missing'
tests.test_flow_aggregate | test_it_alerts_on_TRANSITION_only | assert (0 == 1)
